WBGeneID,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00011129,27.464059785303213,-0.1375180339080215,0.29841969309861044,0.5690446114354193,0.6245586925865602
WBGene00011130,114.64092496376134,5.233669980197767,0.3400289672185197,2.2395096636742235e-54,8.282833196217868e-53
WBGene00011131,25.36874210874689,-0.8465282867942405,0.33458415237438116,0.0018973605916903006,0.0035387297832806513
WBGene00011137,30.928057449767238,-0.16781821547431236,0.2548275513703295,0.43559868307485555,0.49580305279864473
WBGene00011139,105.09618350570412,-0.10101773915211729,0.14786675519000236,0.4538391673097017,0.5135362493154478
WBGene00011140,127.33084000703046,-1.7588422575655258,0.1787040189765376,1.2487301166872939e-25,1.5804880257621046e-24
WBGene00011141,99.73036051797372,-0.5966520770556761,0.21952457538017456,0.0026574141074019457,0.004847465515170737
WBGene00011142,177.60011974117646,0.24473820277806194,0.13679657788722693,0.05198944683690829,0.07497380770211627
WBGene00011143,247.8441151347251,0.3559394597225375,0.11769524653901327,0.0014958752677492954,0.0028336983871349555
WBGene00011144,720.9419386498706,-0.0771756118938888,0.08834102307937917,0.35789077414646114,0.41983229939412076
WBGene00011145,235.42662143051845,-0.6964105584914286,0.12677890736207625,1.5659986757946004e-8,5.4692625507748654e-8
WBGene00011146,4189.465572618968,-0.10847456252706836,0.0817672097506542,0.1641164679664679,0.21109232911180525
WBGene00011147,154.09921796676608,-0.5333686167116837,0.13092468899425821,2.4605966107755125e-5,5.988130404434576e-5
WBGene00011154,606.9461976573488,-0.7762824339490906,0.07948328889138599,5.0834180955535073e-23,5.469988130171819e-22
WBGene00011155,63.70148305125713,0.6704948837874508,0.22177372659828767,8.710913588948823e-4,0.0017093870621808548
WBGene00011156,3974.2914346400767,-0.8236080452747813,0.08288696304821305,7.97885431613645e-24,8.919709264003038e-23
WBGene00011158,80.12947379457933,-1.0315670752331727,0.3325337089198294,1.5943386418000547e-4,3.485200007459932e-4
WBGene00011161,726.162976728266,0.004404748328140122,0.14796584942336935,0.9740617340625913,0.9797723801706043
WBGene00011166,47.78032264943994,-4.995482536803675,0.5149517123281877,4.161048670798182e-23,4.501001246091938e-22
WBGene00011167,81.76804213213343,-3.1202908299352123,0.2290877179072988,1.0970090098578316e-42,2.8056630018165205e-41
WBGene00011171,17.013296230879753,0.2901013048176756,0.3045732965316154,0.23774516750544009,0.2932467353164954
WBGene00011179,23.704652918893483,-1.1928766779205804,0.3854665141818383,7.368612383681668e-5,1.6922191629600231e-4
WBGene00011180,171.60838267644698,2.0511547795746137,0.14779085154700405,2.0703225767115557e-46,6.089213045266154e-45
WBGene00011181,382.5400595048287,-0.6880198175919595,0.09297829298825706,5.705946228320559e-14,3.261710030469406e-13
WBGene00011182,1256.6231784457225,-0.27369657538281655,0.07162527554707072,8.378753699721372e-5,1.912467561948598e-4
WBGene00011184,18.418728137361047,-0.22964811595574458,0.3672852305653665,0.4002688936604703,0.4617164668398347
WBGene00011185,560.8677217482067,-0.389402963405257,0.10343514378830287,1.0051660262826089e-4,2.2662558719965448e-4
WBGene00011189,166.86302172747384,-0.6690578056051183,0.13358271191062476,2.3065360842423082e-7,7.064874844692595e-7
WBGene00011190,37.39531890403504,-0.7727078903838763,0.2630526234394547,8.142646616415752e-4,0.0016060372609385883
WBGene00011191,25.9739722844282,-0.891215837592075,0.31042683667342885,6.171645024564193e-4,0.0012378769012533627
WBGene00011193,163.42793538331355,-0.17776606874336595,0.12436217105264956,0.12183543155215933,0.16195341503968838
WBGene00011194,81.44778197514648,-0.09117987638302162,0.15768177669450237,0.5238255305789723,0.5821173784852506
WBGene00011195,1165.7069084733246,0.11806287533833508,0.06067923258650296,0.04473585793338676,0.0653990595326777
WBGene00011197,254.02334243287325,-1.7474916583623965,0.1692842555456792,9.365537665088334e-28,1.3131950825974594e-26
WBGene00011198,1281.1017170178598,-0.016259403393317332,0.0750201284681441,0.8218012547877267,0.8524402469050959
WBGene00011201,36.32139430249707,0.6998698752945469,0.24953224042409058,0.0015454457041511034,0.0029208829227935404
WBGene00011205,214.59195920766436,-0.05667289335576414,0.11212902043175202,0.5889657504538472,0.6433366270542378
WBGene00011206,167.8307008099491,0.18969571594657084,0.13647735502211147,0.12954405995054236,0.17113226099551382
WBGene00011207,323.41199946240096,1.2793818369745047,0.1125473701438228,1.6754086310273343e-31,2.8081849143935765e-30
WBGene00011209,176.8893043575579,-2.7844691324341024,0.19915319466896433,4.359856552125151e-45,1.213002432171216e-43
WBGene00011212,276.7710407164328,-5.542733190997552,0.24230176837969686,7.732849900706808e-117,1.0162116470577786e-114
WBGene00011213,64.31873223000667,-4.2724961604073295,0.348081548982558,3.021050962854042e-35,5.99021549665104e-34
WBGene00011215,56.86930056668691,-0.4403348185898524,0.2534988325493373,0.043168590698262274,0.06323510030779485
WBGene00011216,212.97936971684982,0.5526749090370711,0.11820501736016693,1.5705432504965767e-6,4.420351053402646e-6
WBGene00011217,455.80605106538997,-1.0193135219214882,0.10711317553968977,2.180028995308745e-22,2.2649199477753516e-21
WBGene00011218,322.2090903374346,0.06371173471354809,0.09214466153449068,0.4659015744934139,0.5256445474214213
WBGene00011221,446.22656936733,-0.15509721704056362,0.08584865869748402,0.05713043598962662,0.08168197636340944
WBGene00011223,59.9140448874452,-0.8556379188831723,0.21461316328737134,1.4176079565385084e-5,3.5563994896669766e-5
WBGene00011224,130.04811467968483,-0.4233556613334428,0.15589530857737932,0.0036795533089551817,0.006561790389132865
WBGene00011225,253.7044923071529,0.10815066238825456,0.1261156035590115,0.3533981478013424,0.41560618048267156
WBGene00011226,257.2315603133622,-0.6003698358393987,0.10864578399195332,1.6555660376870178e-8,5.7592811218101184e-8
WBGene00011227,40.343753072312886,0.4774735239521235,0.265678042227672,0.03498269073988923,0.05238709888590758
WBGene00011228,19.912910276201195,0.10518695985780188,0.2728637533387145,0.6427445785268611,0.6933132883812708
