wormbase_gseq,WBGeneID,wikigene_name,status,description
W06B11.3,WBGene00021060,dct-11,less,down_ELT2_minus
W08A12.4,WBGene00021081,pals-33,greater,up_ELT2_minus
Y8A9A.2,WBGene00021171,Y8A9A.2,greater,up_ELT2_minus
Y8A9A.3,WBGene00021172,Y8A9A.3,greater,up_ELT2_minus
Y8A9A.4,WBGene00021173,Y8A9A.4,greater,up_ELT2_minus
Y14H12A.1,WBGene00021190,Y14H12A.1,less,down_ELT2_minus
Y14H12B.2,WBGene00021192,Y14H12B.2,greater,up_ELT2_minus
Y17G9B.4,WBGene00021201,Y17G9B.4,greater,up_ELT2_minus
Y22D7AR.9,WBGene00021262,fbxa-74,greater,up_ELT2_minus
Y34B4A.6,WBGene00021322,Y34B4A.6,greater,up_ELT2_minus
Y34F4.1,WBGene00021336,Y34F4.1,less,down_ELT2_minus
Y37B11A.1,WBGene00021343,cutl-23,greater,up_ELT2_minus
Y37E3.16,WBGene00021354,fpn-1.1,greater,up_ELT2_minus
Y37E11AR.1,WBGene00021368,best-20,greater,up_ELT2_minus
Y38C1AA.5,WBGene00021396,cutl-24,greater,up_ELT2_minus
Y38C1AA.6,WBGene00021397,Y38C1AA.6,greater,up_ELT2_minus
Y39G10AR.7,WBGene00021465,ekl-7,greater,up_ELT2_minus
Y40C5A.1,WBGene00021495,sqst-2,less,down_ELT2_minus
Y40C5A.3,WBGene00021496,daf-42,greater,up_ELT2_minus
Y40C7B.4,WBGene00021500,Y40C7B.4,greater,up_ELT2_minus
Y40D12A.2,WBGene00021503,ctsa-4.2,less,down_ELT2_minus
Y41D4B.15,WBGene00021517,Y41D4B.15,greater,up_ELT2_minus
Y41D4B.16,WBGene00021518,hpo-6,greater,up_ELT2_minus
Y41D4B.17,WBGene00021519,Y41D4B.17,greater,up_ELT2_minus
Y42G9A.6,WBGene00021535,wht-7,greater,up_ELT2_minus
Y45G5AM.2,WBGene00021555,pid-5,greater,up_ELT2_minus
Y46C8AL.2,WBGene00021580,clec-174,greater,up_ELT2_minus
Y46C8AL.5,WBGene00021583,clec-72,greater,up_ELT2_minus
Y46C8AL.9,WBGene00021586,clec-75,less,down_ELT2_minus
Y46C8AR.1,WBGene00021587,clec-76,less,down_ELT2_minus
Y46D2A.2,WBGene00021590,Y46D2A.2,greater,up_ELT2_minus
Y47G6A.5,WBGene00021635,Y47G6A.5,greater,up_ELT2_minus
Y47G6A.25,WBGene00021649,Y47G6A.25,greater,up_ELT2_minus
Y48G1A.2,WBGene00021658,Y48G1A.2,greater,up_ELT2_minus
Y50D4B.7,WBGene00021746,,less,down_ELT2_minus
Y51F10.7,WBGene00021768,Y51F10.7,greater,up_ELT2_minus
Y53G8B.4,WBGene00021820,nipa-1,greater,up_ELT2_minus
Y54E10A.12,WBGene00021832,syp-5,greater,up_ELT2_minus
Y54F10AM.8,WBGene00021852,Y54F10AM.8,less,down_ELT2_minus
Y54G2A.4,WBGene00021870,samt-1,greater,up_ELT2_minus
Y54G2A.22,WBGene00021887,fbxc-45,greater,up_ELT2_minus
Y58G8A.1,WBGene00021981,lgc-26,greater,up_ELT2_minus
Y60C6A.1,WBGene00022013,Y60C6A.1,greater,up_ELT2_minus
Y65B4BL.2,WBGene00022034,deps-1,greater,up_ELT2_minus
Y65B4BL.4,WBGene00022036,Y65B4BL.4,greater,up_ELT2_minus
Y66H1B.2,WBGene00022048,fln-1,greater,up_ELT2_minus
Y67D8B.1,WBGene00022061,Y67D8B.1,less,down_ELT2_minus
Y71G12B.2,WBGene00022142,Y71G12B.2,greater,up_ELT2_minus
Y71H2AM.13,WBGene00022178,cest-25,greater,up_ELT2_minus
Y74C9A.2,WBGene00022276,nlp-40,less,down_ELT2_minus
Y82E9BR.2,WBGene00022335,,greater,up_ELT2_minus
Y94H6A.10,WBGene00022382,Y94H6A.10,greater,up_ELT2_minus
Y97E10AR.4,WBGene00022399,Y97E10AR.4,greater,up_ELT2_minus
Y102A11A.1,WBGene00022411,Y102A11A.1,less,down_ELT2_minus
Y110A7A.15,WBGene00022462,Y110A7A.15,greater,up_ELT2_minus
Y119C1B.9,WBGene00022474,zig-9,less,down_ELT2_minus
Y119D3B.8,WBGene00022486,fbxa-61,less,down_ELT2_minus
Y119D3B.21,WBGene00022497,Y119D3B.21,greater,up_ELT2_minus
ZC8.3,WBGene00022499,set-30,greater,up_ELT2_minus
ZC64.2,WBGene00022515,ttr-48,less,down_ELT2_minus
ZC196.6,WBGene00022550,droe-8,greater,up_ELT2_minus
ZC239.4,WBGene00022567,ZC239.4,less,down_ELT2_minus
ZC239.16,WBGene00022574,ZC239.16,less,down_ELT2_minus
ZC239.17,WBGene00022575,ZC239.17,less,down_ELT2_minus
ZC395.5,WBGene00022597,ZC395.5,less,down_ELT2_minus
ZK6.7,WBGene00022642,lipl-5,less,down_ELT2_minus
