WBGeneID	embryo_GFPplus_rep1	embryo_GFPplus_rep2	embryo_GFPplus_rep3	L1_GFPplus_rep1	L1_GFPplus_rep3	L3_GFPplus_rep1	L3_GFPplus_rep2	L3_GFPplus_rep3
WBGene00001480	10.008053547397022	10.801296405881386	11.797431295002987	12.41885693785286	13.566181001004448	12.670035096326655	13.346874519275714	13.047677261677098
WBGene00019241	11.496474625024259	11.489131358217527	11.945587958672093	10.954705355662348	11.413057823422177	10.542423573763468	10.954867797560219	11.129830434369776
WBGene00019240	12.656761988057095	12.76584179052509	13.216472413722967	12.510767453770814	12.54671596696353	11.947793482125544	12.298712268411274	12.135471390898388
WBGene00019239	3.8222323162512497	5.180386297328873	4.9395161077650735	2.120158302876029	1.0973306369567228	0.9567776901433511	1.2166877552451933	1.3558881454705543
WBGene00021748	9.974582943045265	10.195333683916433	10.236324222408877	10.15172727191828	10.28226774789365	9.957804317471194	9.939554208004928	9.630221830004942
WBGene00021750	7.484235564703815	7.353307177754635	7.171414083128126	7.582309797324042	7.6390295026771025	6.882910120365069	7.053784096631037	6.985589413354809
WBGene00005024	9.006766685507557	8.727217632350134	8.447960568327574	8.752711412978424	8.47758784559206	8.520771221603171	8.648894661484897	8.127851161002472
WBGene00006770	12.234632330565063	12.122361002168306	11.734059323799002	11.90322718806585	11.751916920746913	11.356827954859403	11.126124379427578	11.274714284264371
WBGene00021749	9.697184563771419	9.094168933016189	8.79943444640676	9.76350586885945	9.537974879553015	8.658185501237371	8.682260322419214	8.613019457556934
WBGene00019971	11.945871035058051	12.102520542958617	12.22194798523318	11.256707223419712	11.576523026779446	10.969510894479948	10.88915997245467	10.617044084059497
WBGene00019972	7.257147305689139	5.183198792819678	5.5885786387377525	5.1947996177138	6.00016487351364	6.465799936909344	6.2781607319197645	6.349501493936549
WBGene00019973	8.940751476773121	7.561513361739772	7.1005077732339625	7.63723572110076	8.587079015459622	8.828223856769748	8.9266338308551	8.119809483011192
WBGene00019975	5.823839161305568	5.4908682127820105	6.209598080556044	6.48143520670528	5.7661948759541355	8.467964449039687	6.93380747313304	7.792561793808135
WBGene00015344	14.103907751468794	13.941698200022481	14.164141028959943	12.789103902213771	12.757569786089693	13.022562407703191	13.055587527034525	13.081355910848135
WBGene00019625	3.2237168024384424	1.6772175577952977	2.26520301403487	1.2386649873363242	1.3278209538071435	2.5828128895285634	1.3651238135545916	2.0666778931234657
WBGene00019624	12.13455699137523	12.376540645312817	12.896940504794054	9.524563188523128	8.263874241628312	9.580639713084157	9.649734560807014	9.413335676291156
WBGene00019626	1.8635339177395174	5.570464905279514	5.895080469304754	4.0879650392484095	3.4083646273771935	3.4613888651118967	2.025541242278173	3.106598669908116
WBGene00019623	5.325496487920083	5.4177863146630605	5.6278987431020635	3.7510087673440546	4.391560250132944	6.742950896496126	5.5075836516221734	6.306753942313993
WBGene00021745	4.030724231192504	3.910715222272193	3.53752200192759	4.172141994796985	4.106029655109534	5.378769216283934	3.4865988272608104	5.875229024360853
WBGene00021743	2.140260412570097	4.527707803155488	4.405358890572374	2.4727695483030683	4.1366820740075765	5.050850102642921	5.857756941056326	5.946131526889738
