WBGeneID,altHyp,intestine_expression
WBGene00017470,greater,enriched
WBGene00023460,greater,enriched
WBGene00000136,greater,enriched
WBGene00003635,greater,enriched
WBGene00019345,greater,enriched
WBGene00002044,greater,enriched
WBGene00018877,greater,enriched
WBGene00018375,greater,enriched
WBGene00019957,greater,enriched
WBGene00019404,greater,enriched
WBGene00022616,greater,enriched
WBGene00045365,greater,enriched
WBGene00016068,greater,enriched
WBGene00006861,greater,enriched
WBGene00016599,greater,enriched
WBGene00021322,greater,enriched
WBGene00021325,greater,enriched
WBGene00021321,greater,enriched
WBGene00016134,greater,enriched
WBGene00018036,greater,enriched
WBGene00018035,greater,enriched
WBGene00015388,greater,enriched
WBGene00015389,greater,enriched
WBGene00017108,greater,enriched
WBGene00017427,greater,enriched
WBGene00021060,greater,enriched
WBGene00015623,greater,enriched
WBGene00002146,greater,enriched
WBGene00004193,greater,enriched
WBGene00015798,greater,enriched
WBGene00003846,greater,enriched
WBGene00077690,greater,enriched
WBGene00021048,greater,enriched
WBGene00015381,greater,enriched
WBGene00015376,greater,enriched
WBGene00015382,greater,enriched
WBGene00019617,greater,enriched
WBGene00003877,greater,enriched
WBGene00015783,greater,enriched
WBGene00017687,greater,enriched
WBGene00017691,greater,enriched
WBGene00020504,greater,enriched
WBGene00020887,greater,enriched
WBGene00044574,greater,enriched
WBGene00000786,greater,enriched
WBGene00003727,greater,enriched
WBGene00018174,greater,enriched
WBGene00019844,greater,enriched
WBGene00019225,greater,enriched
WBGene00000216,greater,enriched
WBGene00019749,greater,enriched
WBGene00000991,greater,enriched
WBGene00018279,greater,enriched
WBGene00018280,greater,enriched
WBGene00017445,greater,enriched
WBGene00017449,greater,enriched
WBGene00017447,greater,enriched
WBGene00017448,greater,enriched
WBGene00015167,greater,enriched
WBGene00002163,greater,enriched
WBGene00016912,greater,enriched
WBGene00000116,greater,enriched
WBGene00018522,greater,enriched
WBGene00019351,greater,enriched
WBGene00004988,greater,enriched
WBGene00004990,greater,enriched
WBGene00206485,greater,enriched
WBGene00050957,greater,enriched
