WBGeneID,altHyp,intestine_expression
WBGene00007964,greater,enriched
WBGene00002038,greater,enriched
WBGene00003577,greater,enriched
WBGene00010904,greater,enriched
WBGene00008654,greater,enriched
WBGene00011956,greater,enriched
WBGene00016450,greater,enriched
WBGene00004400,greater,enriched
WBGene00016676,greater,enriched
WBGene00022597,greater,enriched
WBGene00020967,greater,enriched
WBGene00017302,greater,enriched
WBGene00015469,greater,enriched
WBGene00000239,greater,enriched
WBGene00271715,greater,enriched
WBGene00015085,greater,enriched
WBGene00015081,greater,enriched
WBGene00271577,greater,enriched
WBGene00015080,greater,enriched
WBGene00020018,greater,enriched
WBGene00017163,greater,enriched
WBGene00002201,greater,enriched
WBGene00021531,greater,enriched
WBGene00023489,greater,enriched
WBGene00018342,greater,enriched
WBGene00018343,greater,enriched
WBGene00020437,greater,enriched
WBGene00002891,greater,enriched
WBGene00003214,greater,enriched
WBGene00044455,greater,enriched
WBGene00021503,greater,enriched
WBGene00017905,greater,enriched
WBGene00005712,greater,enriched
WBGene00019813,greater,enriched
WBGene00022735,greater,enriched
WBGene00022736,greater,enriched
WBGene00003845,greater,enriched
WBGene00015100,greater,enriched
WBGene00015107,greater,enriched
WBGene00018951,greater,enriched
WBGene00018952,greater,enriched
WBGene00003956,greater,enriched
WBGene00022793,greater,enriched
WBGene00016204,greater,enriched
WBGene00019682,greater,enriched
WBGene00015752,greater,enriched
WBGene00017322,greater,enriched
WBGene00043097,greater,enriched
WBGene00015522,greater,enriched
WBGene00015518,greater,enriched
WBGene00022721,greater,enriched
WBGene00010307,greater,enriched
WBGene00004269,greater,enriched
WBGene00010795,greater,enriched
WBGene00008043,greater,enriched
WBGene00008044,greater,enriched
WBGene00008042,greater,enriched
WBGene00000799,greater,enriched
WBGene00007185,greater,enriched
WBGene00010130,greater,enriched
WBGene00008167,greater,enriched
WBGene00007404,greater,enriched
WBGene00003571,greater,enriched
WBGene00003572,greater,enriched
WBGene00006910,greater,enriched
WBGene00006911,greater,enriched
WBGene00010782,greater,enriched
WBGene00010780,greater,enriched
WBGene00009595,greater,enriched
WBGene00010545,greater,enriched
WBGene00010540,greater,enriched
WBGene00007322,greater,enriched
WBGene00011803,greater,enriched
WBGene00014233,greater,enriched
WBGene00004986,greater,enriched
WBGene00008019,greater,enriched
WBGene00008425,greater,enriched
WBGene00001993,greater,enriched
WBGene00012968,greater,enriched
WBGene00012969,greater,enriched
WBGene00012970,greater,enriched
WBGene00012934,greater,enriched
WBGene00012127,greater,enriched
WBGene00006533,greater,enriched
WBGene00013439,greater,enriched
WBGene00013426,greater,enriched
WBGene00270321,greater,enriched
WBGene00012758,greater,enriched
WBGene00013227,greater,enriched
WBGene00013238,greater,enriched
WBGene00013541,greater,enriched
WBGene00013555,greater,enriched
WBGene00023483,greater,enriched
WBGene00013559,greater,enriched
WBGene00013560,greater,enriched
WBGene00013562,greater,enriched
WBGene00013035,greater,enriched
WBGene00013037,greater,enriched
WBGene00012554,greater,enriched
WBGene00012559,greater,enriched
WBGene00000267,greater,enriched
WBGene00001630,greater,enriched
WBGene00004075,greater,enriched
WBGene00013575,greater,enriched
WBGene00000067,greater,enriched
WBGene00011733,greater,enriched
WBGene00000179,greater,enriched
WBGene00004796,greater,enriched
WBGene00012306,greater,enriched
WBGene00044281,greater,enriched
WBGene00022858,greater,enriched
WBGene00018683,greater,enriched
WBGene00019014,greater,enriched
WBGene00194687,greater,enriched
WBGene00002056,greater,enriched
WBGene00002058,greater,enriched
WBGene00018984,greater,enriched
WBGene00018779,greater,enriched
WBGene00015471,greater,enriched
WBGene00020128,greater,enriched
WBGene00006635,greater,enriched
WBGene00016874,greater,enriched
WBGene00017667,greater,enriched
WBGene00195184,greater,enriched
WBGene00019435,greater,enriched
WBGene00019146,greater,enriched
WBGene00019145,greater,enriched
WBGene00017226,greater,enriched
WBGene00022413,greater,enriched
WBGene00022412,greater,enriched
WBGene00020507,greater,enriched
WBGene00002039,greater,enriched
WBGene00018715,greater,enriched
WBGene00018718,greater,enriched
WBGene00020158,greater,enriched
WBGene00022201,greater,enriched
WBGene00022200,greater,enriched
WBGene00019738,greater,enriched
WBGene00006679,greater,enriched
WBGene00015791,greater,enriched
WBGene00015793,greater,enriched
WBGene00017892,greater,enriched
WBGene00018237,greater,enriched
WBGene00019550,greater,enriched
WBGene00019549,greater,enriched
WBGene00019547,greater,enriched
WBGene00000503,greater,enriched
WBGene00015713,greater,enriched
WBGene00020847,greater,enriched
WBGene00015956,greater,enriched
WBGene00006431,greater,enriched
WBGene00006454,greater,enriched
WBGene00015823,greater,enriched
WBGene00019830,greater,enriched
WBGene00006921,greater,enriched
WBGene00016865,greater,enriched
WBGene00004356,greater,enriched
WBGene00003963,greater,enriched
WBGene00000136,greater,enriched
WBGene00016705,greater,enriched
WBGene00019345,greater,enriched
WBGene00002044,greater,enriched
WBGene00019344,greater,enriched
WBGene00018375,greater,enriched
WBGene00019957,greater,enriched
WBGene00019404,greater,enriched
WBGene00003986,greater,enriched
WBGene00045365,greater,enriched
WBGene00016068,greater,enriched
WBGene00016599,greater,enriched
WBGene00021322,greater,enriched
WBGene00021325,greater,enriched
WBGene00021321,greater,enriched
WBGene00016134,greater,enriched
WBGene00018036,greater,enriched
WBGene00018035,greater,enriched
WBGene00015388,greater,enriched
WBGene00015389,greater,enriched
WBGene00044570,greater,enriched
WBGene00017108,greater,enriched
WBGene00017427,greater,enriched
WBGene00021060,greater,enriched
WBGene00003254,greater,enriched
WBGene00015624,greater,enriched
WBGene00002007,greater,enriched
WBGene00004193,greater,enriched
WBGene00003846,greater,enriched
WBGene00021048,greater,enriched
WBGene00015381,greater,enriched
WBGene00015378,greater,enriched
WBGene00015382,greater,enriched
WBGene00003053,greater,enriched
WBGene00019617,greater,enriched
WBGene00019619,greater,enriched
WBGene00003877,greater,enriched
WBGene00015783,greater,enriched
WBGene00017687,greater,enriched
WBGene00017691,greater,enriched
WBGene00044574,greater,enriched
WBGene00000786,greater,enriched
WBGene00018174,greater,enriched
WBGene00019225,greater,enriched
WBGene00000216,greater,enriched
WBGene00000991,greater,enriched
WBGene00018280,greater,enriched
WBGene00017449,greater,enriched
WBGene00017447,greater,enriched
WBGene00015168,greater,enriched
WBGene00016469,greater,enriched
WBGene00002163,greater,enriched
WBGene00016912,greater,enriched
WBGene00018522,greater,enriched
WBGene00019351,greater,enriched
WBGene00004988,greater,enriched
WBGene00004987,greater,enriched
WBGene00004989,greater,enriched
WBGene00004990,greater,enriched
WBGene00015565,greater,enriched
WBGene00206485,greater,enriched
WBGene00050957,greater,enriched
WBGene00019803,greater,enriched
WBGene00017861,greater,enriched
WBGene00004999,greater,enriched
WBGene00006925,greater,enriched
WBGene00000075,greater,enriched
WBGene00019846,greater,enriched
WBGene00043983,greater,enriched
WBGene00018467,greater,enriched
WBGene00015949,greater,enriched
WBGene00016714,greater,enriched
WBGene00019493,greater,enriched
WBGene00000391,greater,enriched
WBGene00019779,greater,enriched
WBGene00002234,greater,enriched
WBGene00019986,greater,enriched
WBGene00018885,greater,enriched
WBGene00017257,greater,enriched
WBGene00017515,greater,enriched
WBGene00020137,greater,enriched
WBGene00017048,greater,enriched
WBGene00018725,greater,enriched
WBGene00018724,greater,enriched
WBGene00018729,greater,enriched
WBGene00019730,greater,enriched
WBGene00019869,greater,enriched
WBGene00002057,greater,enriched
WBGene00016190,greater,enriched
WBGene00016191,greater,enriched
WBGene00006718,greater,enriched
WBGene00219376,greater,enriched
WBGene00017012,greater,enriched
WBGene00020788,greater,enriched
WBGene00000100,greater,enriched
WBGene00001638,greater,enriched
WBGene00007130,greater,enriched
WBGene00014141,greater,enriched
WBGene00003828,greater,enriched
WBGene00009886,greater,enriched
WBGene00002067,greater,enriched
WBGene00009482,greater,enriched
WBGene00009483,greater,enriched
WBGene00011076,greater,enriched
WBGene00001784,greater,enriched
WBGene00011083,greater,enriched
WBGene00003410,greater,enriched
WBGene00009023,greater,enriched
WBGene00007650,greater,enriched
WBGene00008954,greater,enriched
WBGene00012162,greater,enriched
WBGene00013870,greater,enriched
WBGene00008602,greater,enriched
WBGene00011102,greater,enriched
WBGene00001250,greater,enriched
WBGene00008806,greater,enriched
WBGene00045480,greater,enriched
WBGene00010340,greater,enriched
WBGene00010341,greater,enriched
WBGene00010342,greater,enriched
WBGene00008749,greater,enriched
WBGene00004002,greater,enriched
WBGene00009818,greater,enriched
WBGene00003943,greater,enriched
WBGene00006897,greater,enriched
WBGene00010334,greater,enriched
WBGene00007945,greater,enriched
WBGene00007939,greater,enriched
WBGene00007267,greater,enriched
WBGene00013976,greater,enriched
WBGene00000212,greater,enriched
WBGene00000040,greater,enriched
WBGene00003997,greater,enriched
WBGene00004197,greater,enriched
WBGene00009777,greater,enriched
WBGene00002037,greater,enriched
WBGene00012018,greater,enriched
WBGene00009259,greater,enriched
WBGene00011445,greater,enriched
WBGene00006965,greater,enriched
WBGene00045252,greater,enriched
WBGene00004859,greater,enriched
WBGene00011361,greater,enriched
WBGene00010925,greater,enriched
WBGene00007691,greater,enriched
WBGene00007695,greater,enriched
WBGene00007692,greater,enriched
WBGene00007694,greater,enriched
WBGene00008451,greater,enriched
WBGene00009635,greater,enriched
WBGene00009636,greater,enriched
WBGene00011821,greater,enriched
WBGene00011938,greater,enriched
WBGene00008692,greater,enriched
WBGene00010522,greater,enriched
WBGene00010998,greater,enriched
WBGene00008598,greater,enriched
WBGene00008599,greater,enriched
WBGene00045245,greater,enriched
WBGene00009796,greater,enriched
WBGene00009798,greater,enriched
WBGene00007810,greater,enriched
WBGene00007811,greater,enriched
WBGene00007813,greater,enriched
WBGene00001465,greater,enriched
WBGene00006610,greater,enriched
WBGene00010034,greater,enriched
WBGene00010774,greater,enriched
WBGene00010116,greater,enriched
WBGene00009852,greater,enriched
WBGene00007904,greater,enriched
WBGene00010993,greater,enriched
WBGene00000458,greater,enriched
WBGene00010605,greater,enriched
WBGene00010606,greater,enriched
WBGene00077757,greater,enriched
WBGene00008462,greater,enriched
WBGene00004191,greater,enriched
WBGene00010571,greater,enriched
WBGene00008354,greater,enriched
WBGene00011984,greater,enriched
WBGene00007347,greater,enriched
WBGene00012445,greater,enriched
WBGene00003411,greater,enriched
WBGene00001468,greater,enriched
WBGene00008607,greater,enriched
WBGene00011684,greater,enriched
WBGene00010357,greater,enriched
WBGene00009560,greater,enriched
WBGene00010983,greater,enriched
WBGene00006494,greater,enriched
WBGene00007284,greater,enriched
WBGene00012407,greater,enriched
WBGene00010336,greater,enriched
WBGene00010337,greater,enriched
WBGene00008621,greater,enriched
WBGene00009070,greater,enriched
WBGene00004789,greater,enriched
WBGene00018374,greater,enriched
WBGene00017727,greater,enriched
WBGene00017726,greater,enriched
WBGene00019578,greater,enriched
WBGene00020725,greater,enriched
WBGene00015122,greater,enriched
WBGene00219274,greater,enriched
WBGene00016900,greater,enriched
WBGene00002272,greater,enriched
WBGene00017625,greater,enriched
WBGene00007068,greater,enriched
WBGene00022276,greater,enriched
WBGene00016906,greater,enriched
WBGene00001814,greater,enriched
WBGene00021215,greater,enriched
WBGene00005002,greater,enriched
WBGene00021335,greater,enriched
WBGene00022838,greater,enriched
WBGene00236809,greater,enriched
WBGene00019674,greater,enriched
WBGene00045052,greater,enriched
WBGene00045053,greater,enriched
WBGene00019673,greater,enriched
WBGene00022142,greater,enriched
WBGene00021768,greater,enriched
WBGene00021354,greater,enriched
WBGene00017398,greater,enriched
WBGene00022129,greater,enriched
WBGene00020989,greater,enriched
WBGene00002174,greater,enriched
WBGene00022122,greater,enriched
WBGene00000237,greater,enriched
WBGene00000205,greater,enriched
WBGene00021644,greater,enriched
WBGene00021635,greater,enriched
WBGene00020903,greater,enriched
WBGene00001501,greater,enriched
WBGene00020190,greater,enriched
WBGene00020191,greater,enriched
WBGene00020184,greater,enriched
WBGene00002137,greater,enriched
WBGene00002138,greater,enriched
WBGene00002139,greater,enriched
WBGene00021628,greater,enriched
WBGene00022474,greater,enriched
WBGene00045048,greater,enriched
WBGene00000155,greater,enriched
WBGene00002979,greater,enriched
WBGene00016728,greater,enriched
WBGene00016258,greater,enriched
WBGene00045212,greater,enriched
WBGene00001333,greater,enriched
WBGene00018594,greater,enriched
WBGene00000150,greater,enriched
WBGene00000966,greater,enriched
WBGene00019693,greater,enriched
WBGene00019713,greater,enriched
WBGene00006919,greater,enriched
WBGene00016332,greater,enriched
WBGene00003996,greater,enriched
WBGene00001819,greater,enriched
WBGene00020258,greater,enriched
WBGene00004068,greater,enriched
WBGene00022593,greater,enriched
WBGene00016943,greater,enriched
WBGene00016942,greater,enriched
WBGene00002258,greater,enriched
WBGene00002257,greater,enriched
WBGene00044898,greater,enriched
WBGene00020660,greater,enriched
WBGene00016746,greater,enriched
WBGene00016260,greater,enriched
WBGene00016265,greater,enriched
WBGene00001644,greater,enriched
WBGene00010644,greater,enriched
WBGene00010870,greater,enriched
WBGene00007254,greater,enriched
WBGene00009918,greater,enriched
WBGene00008542,greater,enriched
WBGene00007743,greater,enriched
WBGene00000084,greater,enriched
WBGene00000967,greater,enriched
WBGene00013955,greater,enriched
WBGene00044120,greater,enriched
WBGene00007973,greater,enriched
WBGene00009456,greater,enriched
WBGene00010134,greater,enriched
WBGene00007857,greater,enriched
WBGene00010858,greater,enriched
WBGene00077525,greater,enriched
WBGene00002070,greater,enriched
WBGene00011494,greater,enriched
WBGene00011495,greater,enriched
WBGene00044607,greater,enriched
WBGene00009162,greater,enriched
WBGene00009165,greater,enriched
WBGene00003659,greater,enriched
WBGene00003564,greater,enriched
WBGene00013716,greater,enriched
WBGene00044792,greater,enriched
WBGene00010328,greater,enriched
WBGene00014761,greater,enriched
WBGene00077770,greater,enriched
WBGene00005524,greater,enriched
WBGene00011936,greater,enriched
WBGene00012947,greater,enriched
WBGene00012961,greater,enriched
WBGene00010822,greater,enriched
WBGene00011030,greater,enriched
WBGene00008787,greater,enriched
WBGene00008785,greater,enriched
WBGene00008477,greater,enriched
WBGene00010769,greater,enriched
WBGene00012208,greater,enriched
WBGene00003735,greater,enriched
WBGene00008564,greater,enriched
WBGene00008566,greater,enriched
WBGene00008567,greater,enriched
WBGene00004196,greater,enriched
WBGene00008132,greater,enriched
WBGene00007656,greater,enriched
WBGene00007660,greater,enriched
WBGene00009061,greater,enriched
WBGene00044707,greater,enriched
WBGene00003585,greater,enriched
WBGene00013594,greater,enriched
WBGene00013513,greater,enriched
WBGene00004875,greater,enriched
WBGene00001156,greater,enriched
WBGene00013197,greater,enriched
WBGene00000881,greater,enriched
WBGene00000022,greater,enriched
WBGene00022642,greater,enriched
WBGene00022644,greater,enriched
WBGene00022645,greater,enriched
WBGene00021448,greater,enriched
WBGene00015259,greater,enriched
WBGene00019744,greater,enriched
WBGene00003689,greater,enriched
WBGene00003645,greater,enriched
WBGene00003720,greater,enriched
WBGene00003696,greater,enriched
WBGene00020015,greater,enriched
WBGene00020016,greater,enriched
WBGene00015759,greater,enriched
WBGene00015756,greater,enriched
WBGene00018616,greater,enriched
WBGene00017961,greater,enriched
WBGene00017957,greater,enriched
WBGene00044776,greater,enriched
WBGene00021072,greater,enriched
WBGene00000785,greater,enriched
WBGene00021070,greater,enriched
WBGene00020662,greater,enriched
WBGene00022286,greater,enriched
WBGene00001578,greater,enriched
WBGene00019978,greater,enriched
WBGene00018707,greater,enriched
WBGene00018708,greater,enriched
WBGene00017503,greater,enriched
WBGene00003700,greater,enriched
WBGene00021603,greater,enriched
WBGene00021602,greater,enriched
WBGene00020393,greater,enriched
WBGene00020277,greater,enriched
WBGene00020280,greater,enriched
WBGene00020340,greater,enriched
WBGene00000111,greater,enriched
WBGene00017720,greater,enriched
WBGene00021167,greater,enriched
WBGene00021164,greater,enriched
WBGene00003723,greater,enriched
WBGene00003705,greater,enriched
